Objects
100
,,Global Angle rccar_car_01:rccar_car_01,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
247,0,0.00152347,0.0110116,-1.43974,-589.306,1016.38,165.027
248,0,0.00171664,0.0103733,-1.43625,-586.469,996.598,164.655
249,0,0.00170458,0.0104395,-1.43362,-583.806,976.674,164.348
250,0,0.00300341,0.0108027,-1.43082,-580.873,956.925,164.029
251,0,0.00571229,0.0102572,-1.42839,-577.765,937.05,163.587
252,0,0.00709185,0.0093866,-1.42536,-574.638,917.131,163.246
253,0,0.00361548,0.0113415,-1.42254,-571.857,897.175,162.988
254,0,0.00456822,0.00883157,-1.4204,-568.847,877.351,162.94
255,0,0.00331883,0.0091003,-1.41778,-565.721,857.36,162.74
256,0,0.0034101,0.00892443,-1.41477,-562.18,837.485,162.284
257,0,0.00284198,0.00955758,-1.41264,-558.792,817.549,161.94
258,0,0.00425681,0.00781014,-1.41111,-555.182,797.661,161.732
259,0,0.00216175,0.00989368,-1.40918,-551.824,777.619,161.201
260,0,0.00433679,0.00859223,-1.40725,-548.126,757.639,160.676
261,0,0.00201784,0.0103364,-1.40479,-544.867,737.677,160.329
262,0,0.00278701,0.0103216,-1.40177,-540.998,718.031,159.754
263,0,0.00256226,0.0116524,-1.39961,-537.418,698.099,159.407
264,0,0.00311292,0.0123765,-1.39797,-533.743,678.074,159.142
265,0,0.00173141,0.0143215,-1.39595,-530.17,658.087,158.903
266,0,0.00120891,0.0154908,-1.3942,-526.541,637.989,158.517
267,0,0.000806491,0.0167783,-1.39121,-522.853,618.06,158.107
268,0,0.000379328,0.0154843,-1.38958,-519.195,598.1,157.974
269,0,0.00171714,0.0122766,-1.38819,-515.035,577.97,157.642
270,0,-0.00228498,0.0154663,-1.38528,-511.519,557.984,157.381
271,0,-0.00137406,0.0134345,-1.38363,-507.36,537.977,157.263
272,0,-0.00271227,0.0155328,-1.3804,-503.258,517.986,156.942
273,0,-0.00152708,0.0142588,-1.37864,-498.926,497.917,156.787
